Start Time : 2023-04-21 17:11:27
Frame	Time	Battery voltage	Ignition switch condition	First EGR closed position (AD Conversion)	Fuel Temp Sensor (physical Value)	Turbine inlet temperature (physical value)	EGR valve duty cycle	Brake switch condition	State variable showing the condition of the engine	Coolant temp (physical value)	Engine speed	Number of MDP update failed	Number of MDP update succeed	Total soot mas inside the DPF calulated based on model	Transmission oil temp switch condition	Oil pressure	Pedal position	Atmospheric pressure	Pedal position from potentiometer track 1	Pedal position from potentiometer track 2	Hand pedal position from potentiometer track 1	Hand pedal position from potentiometer track 2	Fuel filter feedback (AD conversion)	Turbine inlet preesure (estimate)	SCR outlet temperature	EGR rate position (demand value)	Throttle valve duty cycle	After fuel quantity (demand)	Total fuel injection quantity	Main fuel injection quantity	Pilot 1 fuel inection quantity	Pilot 2 fuel inection quantity	Post 1 fuel inection quantity	Post 2 fuel inection quantity	Injection balancing delta speed of Cyliner 1	Injection balancing delta speed of Cyliner 3 (D18 = Injector 2)	Injection balancing delta speed of Cyliner 4 (D18 = Injector 3)	Injection balancing delta speed of Cyliner 2	After injection condition	Main injection timing	Pilot1 injection timing demand	Pilot2 injection timing demand	Post1 injection timing demand	Post2 injection timing demand	Rail pressure (demand value)	Rail pressure gap (demand vs actual feedback)	Actual fast indicated mean effective pressure	Actual slow indicated mean effective pressure	Desired fast indicated mean effective pressure	Desired slow indicated mean effective pressure	Idle speed target	Maximum indicated torque	Brake Lamp Switch condition	Oil pressure warning lamp condition	Inching pedal switch condition	Multi torque switch condition	Parking Brake switch condition	PTO switch condition	Water in fuel filter condition	Emergency Switch condition	Total engine running time	Total fuel used by the engine	Total vehicle run time	IMV current demand	Cluth switch condition	EGR valve position	Air mass flow (1 injection cycle)	EGR valve position (AD Conversion)	Manifold air pressure (raw)	Rail pressure (raw)	Intake manifold temperature	Throttle feedback position from AD Conversion	Regeneration state	Glow plugs condition	Ambient temperature	Throttle position (desired)	Actual engine brake torque	Actual indicated torque	Intake port air mass flow	Intake port air mass flow (speed)	Oil pressure	Output temperature from cnts linearization map	SCR inlet temperature	DOC in temperature	Target DOC out temperature (DeSox Mode)	Regen switch is the inhibited state	Air/Fuel ratio	Intake air estimation	EGR valve duty rate (desired)	EGR rate (Intake port)	DeSOx state	Check engine lamp condition	Glow plug warning lamp signal condition	MIL Lamp condition	Supply Module external ambient temperature	Fuel filter pressure	Cam sensor APS value	Cam sensor condition	Crank Sensor APS value	Crank sensor condition	Cam & Crank sensor communicating	IMV current feedback	SCR inducement - fault code repeat state	SCR inducement - speed scaler	SCR inducement - torque scaler	SCR inducement - state	Max torque value	Reduce torque value	Smoke Limit Active condition	Atmospheric pressure	Coolant temp (AD Conversion)	Turbine inlet temperature (AD Conversion)	Manifold air pressure sensor (AD Conversion)	Air mass flow (Feedback)	Fuel tank level	Intake air temperature (Feedback)	Actual Throttle feedback position from AD Conversion	Engine running time (1 driving cycle)	Requested Engine Speed	Filtered EGR flow correction fraction during fail diagnosis conditions	EGR flow diagnosis enabled	Non-corrected intake port fresh air flow	Value of period signal (HFM AMF)	
-21	-2.1	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	25.5	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-20	-2.0	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	25.5	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-19	-1.9	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	25.5	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-18	-1.8	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	25.5	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-17	-1.7	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	25.5	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-16	-1.6	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	25.5	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-15	-1.5	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-14	-1.4	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	140.88	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-13	-1.3	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	153.1	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-12	-1.2	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-11	-1.1	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-10	-1.0	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-9	-0.9	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-8	-0.8	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-7	-0.7	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.9	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-6	-0.6	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-5	-0.5	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-4	-0.4	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	139.69	78.8	152.6	221.0	153.1	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-3	-0.3	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-2	-0.2	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-1	-0.1	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
0	0.0	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
1	0.1	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
2	0.2	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	24.4	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
3	0.3	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.295	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
4	0.4	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
5	0.5	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	137.38	78.8	152.6	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
6	0.6	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	136.25	78.8	152.2	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
7	0.7	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	136.25	78.8	152.2	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
8	0.8	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	136.25	78.8	152.2	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
9	0.9	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	136.25	78.8	152.2	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
10	1.0	12.0	01	805	68.0	284.0	0	00	00	95.0	0	811	2765	23.0	00	23.8	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.296	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	136.25	78.8	152.2	221.0	152.6	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
